Stage,Task,Team,Score
1,Poster Session,UT Austin Villa@Home,35
1,Poster Session,Hibikino-Musashi@Home,39
1,Poster Session,RoboCanes-VISAGE,30
1,Poster Session,rUNSWeep,40
1,Receptionist,UT Austin Villa@Home,330
1,Receptionist,Hibikino-Musashi@Home,340
1,Receptionist,RoboCanes-VISAGE,425
1,Receptionist,rUNSWeep,0
1,Storing Groceries,UT Austin Villa@Home,245
1,Storing Groceries,Hibikino-Musashi@Home,480
1,Storing Groceries,RoboCanes-VISAGE,340
1,Storing Groceries,rUNSWeep,0
1,GPSR,UT Austin Villa@Home,80
1,GPSR,Hibikino-Musashi@Home,580
1,GPSR,RoboCanes-VISAGE,0
1,Help me Carry,UT Austin Villa@Home,100
1,Help me Carry,Hibikino-Musashi@Home,565
1,Help me Carry,RoboCanes-VISAGE,200
1,Help me Carry,rUNSWeep,100
2,Clean the Table,UT Austin Villa@Home,15
2,Clean the Table,Hibikino-Musashi@Home,15
2,Clean the Table,RoboCanes-VISAGE,15
2,Clean the Table,rUNSWeep,15
2,Restaurant,UT Austin Villa@Home,0
2,Restaurant,Hibikino-Musashi@Home,600
2,Restaurant,RoboCanes-VISAGE,100
2,Give me a Hand,UT Austin Villa@Home,0
2,Give me a Hand,Hibikino-Musashi@Home,150
2,Give me a Hand,RoboCanes-VISAGE,0
2,Give me a Hand,rUNSWeep,100
2,EGPSR,UT Austin Villa@Home,1190
2,EGPSR,Hibikino-Musashi@Home,250
2,EGPSR,RoboCanes-VISAGE,850
2,EGPSR,rUNSWeep,100
3,Final,UT Austin Villa@Home,150
3,Final,Hibikino-Musashi@Home,1100
3,Final,RoboCanes-VISAGE,150
